loc,folio,line_order,tokens,neutral_roles,pass20_tier,tier_simple,pass16h_final_status,module_short,semantic_function,meta_I,meta_L,meta_H,line_marker_family,functional_gloss_sequence,functional_pseudotranslation,external_translation_status
"f76v.12,+P0",f76v,2564,solsheol sheey lteedy qokeedy qotal chedy checthy otedeey qokol chedy deey,R00 R06 R00 H01 H13 R02 R00 R01 H08 R02 R06,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,S2,FORMAL_G1_GLOBAL_FRAME,G1,relational frame / record line,B,B,2,paragraph_continuation,ARG/FILL FUNC-PARTICLE ARG/FILL FUNC-PARTICLE OP/HEAD FUNC-PARTICLE ARG/FILL QUAL/TAIL FUNC-PARTICLE FUNC-PARTICLE ARG/FILL,ARG/FILL / FUNC-PARTICLE / ARG/FILL / FUNC-PARTICLE / OP/HEAD / FUNC-PARTICLE / ARG/FILL / QUAL/TAIL / FUNC-PARTICLE / FUNC-PARTICLE / ARG/FILL,NO_VERIFIED_EXTERNAL_TRANSLATION
"f76v.13,+P0",f76v,2565,saiin sheedy qol sheedy okeeedy qoteedy chedy qotedy oleeedy qoteedy lo,R06 R06 R00 R06 R00 H01 R02 H17 R00 H01 R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G1_GLOBAL_FRAME,G1,relational frame / record line,B,B,2,paragraph_continuation,FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE ARG/FILL FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE ARG/FILL FUNC-PARTICLE ARG/FILL,FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / ARG/FILL / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / ARG/FILL / FUNC-PARTICLE / ARG/FILL,NO_VERIFIED_EXTERNAL_TRANSLATION
"f76v.15,+P0",f76v,2567,tchedy lsheedy chedal chedy checthey,R06 R00 R00 R02 R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,B,B,2,paragraph_continuation,LABEL-FIELD LABEL-FIELD LABEL-FIELD FUNC-PARTICLE LABEL-FIELD,LABEL-FIELD / LABEL-FIELD / LABEL-FIELD / FUNC-PARTICLE / LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f76v.17,+P0",f76v,2569,sar olkeey shokaiin sheolol otedy qekchdy qoeeedy qokedy lkedy chdy,R06 R00 R10 R00 R01 R00 H21 H12 R00 R02,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G1_GLOBAL_FRAME,G1,relational frame / record line,B,B,2,paragraph_continuation,ARG/FILL ARG/FILL QUAL/TAIL ARG/FILL FUNC-PARTICLE ARG/FILL OP/HEAD FUNC-PARTICLE ARG/FILL FUNC-PARTICLE,ARG/FILL / ARG/FILL / QUAL/TAIL / ARG/FILL / FUNC-PARTICLE / ARG/FILL / OP/HEAD / FUNC-PARTICLE / ARG/FILL / FUNC-PARTICLE,NO_VERIFIED_EXTERNAL_TRANSLATION
"f76v.18,+P0",f76v,2570,lshey qockhedy qodeey qolkeedy qokedy chol chedchey daiin olkedy,R00 H21 H07 H21 H12 R07 R00 R10 R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G1_GLOBAL_FRAME,G1,relational frame / record line,B,B,2,paragraph_continuation,ARG-LEX OP/HEAD OP/HEAD OP/HEAD FUNC-PARTICLE FUNC-PARTICLE ARG/FILL FUNC-PARTICLE ARG/FILL,ARG-LEX / OP/HEAD / OP/HEAD / OP/HEAD / FUNC-PARTICLE / FUNC-PARTICLE / ARG/FILL / FUNC-PARTICLE / ARG/FILL,NO_VERIFIED_EXTERNAL_TRANSLATION
"f77r.1,@Ln",f77r,2594,darchdar,R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,B,B,2,label_or_marginal,LABEL-FIELD,LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f77r.2,+Lt",f77r,2595,olkchs,R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,B,B,2,+L,LABEL-FIELD,LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f77r.4,~Lt",f77r,2597,otork,R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,B,B,2,~L,LABEL-FIELD,LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f77r.6,~Lt",f77r,2599,dchdy,R06,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,B,B,2,~L,LABEL-FIELD,LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f77r.7,~Lt",f77r,2600,soral,R06,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,B,B,2,~L,LABEL-FIELD,LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f77r.8,~Ln",f77r,2601,dotedy,R06,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,B,B,2,~L,LABEL-FIELD,LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f77r.11,+P0",f77r,2604,qoteedy qokaiin shedy chol shedy shcthey qokeedy oteedy cham,H01 H08 R06 R07 R06 R04 H01 R01 R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G1_GLOBAL_FRAME,G1,relational frame / record line,B,B,2,paragraph_continuation,FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE QUAL/TAIL FUNC-PARTICLE FUNC-PARTICLE ARG/FILL,FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / QUAL/TAIL / FUNC-PARTICLE / FUNC-PARTICLE / ARG/FILL,NO_VERIFIED_EXTERNAL_TRANSLATION
"f77r.14,+P0",f77r,2607,sokcheey sain sheeol qoteedy qokaiin shedy qokeedy qotedy,R00 R06 R06 H01 H08 R06 H01 H17,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G1_GLOBAL_FRAME,G1,relational frame / record line,B,B,2,paragraph_continuation,ARG/FILL FUNC-PARTICLE ARG/FILL FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE,ARG/FILL / FUNC-PARTICLE / ARG/FILL / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE,NO_VERIFIED_EXTERNAL_TRANSLATION
"f77r.15,+P0",f77r,2608,qokeedy shedy qotol shedy qokaiin sheety qokeedy lchedylol,H01 R06 H13 R06 H08 R06 H01 R00,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,S2,FORMAL_G1_GLOBAL_FRAME,G1,relational frame / record line,B,B,2,paragraph_continuation,FUNC-PARTICLE FUNC-PARTICLE OPERATOR FUNC-PARTICLE FUNC-PARTICLE ARG/FILL FUNC-PARTICLE ARG/FILL,FUNC-PARTICLE / FUNC-PARTICLE / OPERATOR / FUNC-PARTICLE / FUNC-PARTICLE / ARG/FILL / FUNC-PARTICLE / ARG/FILL,NO_VERIFIED_EXTERNAL_TRANSLATION
"f77r.16,+P0",f77r,2609,sshedy qotaiin chedy qokaiin shedy qolcheedy qokeedy lol,R06 H13 R02 H08 R06 H21 H01 R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G1_GLOBAL_FRAME,G1,relational frame / record line,B,B,2,paragraph_continuation,ARG/FILL OPERATOR FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE OP/HEAD FUNC-PARTICLE ARG/FILL,ARG/FILL / OPERATOR / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / OP/HEAD / FUNC-PARTICLE / ARG/FILL,NO_VERIFIED_EXTERNAL_TRANSLATION
"f77r.21,+P0",f77r,2614,chedaiin shedy qokeedy qokedy qokeey chedy shear olaiiny,R00 R06 H01 H12 H08 R02 R06 R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G1_GLOBAL_FRAME,G1,relational frame / record line,B,B,2,paragraph_continuation,ARG/FILL FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE ARG-LEX ARG/FILL,ARG/FILL / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / ARG-LEX / ARG/FILL,NO_VERIFIED_EXTERNAL_TRANSLATION
"f77r.27,+P0",f77r,2620,solchedy qokain okaiin shedy qokeedy qotedy,R00 H08 R10 R06 H01 H17,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G1_GLOBAL_FRAME,G1,relational frame / record line,B,B,2,paragraph_continuation,ARG/FILL FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE,ARG/FILL / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE,NO_VERIFIED_EXTERNAL_TRANSLATION
"f77r.29,+P0",f77r,2622,saiin cheeol qokeedy qokeedy qotal,R06 R00 H01 H01 H13,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G1_GLOBAL_FRAME,G1,relational frame / record line,B,B,2,paragraph_continuation,FUNC-PARTICLE ARG/FILL FUNC-PARTICLE FUNC-PARTICLE OP/HEAD,FUNC-PARTICLE / ARG/FILL / FUNC-PARTICLE / FUNC-PARTICLE / OP/HEAD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f77r.37,+P0",f77r,2630,teeolain chey qoteedy qokain cheedy cheey lchedy,R00 R06 H01 H08 R06 R06 R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G1_GLOBAL_FRAME,G1,relational frame / record line,B,B,2,paragraph_continuation,ARG/FILL FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE ARG/FILL FUNC-PARTICLE FUNC-PARTICLE,ARG/FILL / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / ARG/FILL / FUNC-PARTICLE / FUNC-PARTICLE,NO_VERIFIED_EXTERNAL_TRANSLATION
"f77r.48,+P0",f77r,2641,sodar oloky,R06 R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,B,B,2,paragraph_continuation,LABEL-FIELD LABEL-FIELD,LABEL-FIELD / LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f77r.49,@Ln",f77r,2642,otchdy,R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,B,B,2,label_or_marginal,LABEL-FIELD,LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f77v.3,=Lt",f77v,2646,olkeedal,R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,B,B,2,=L,LABEL-FIELD,LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f77v.6,@P0",f77v,2649,qetedy shedy qotol odal chal dar qopshedy qotedy qotedy qokedy dal,R00 R06 H13 R00 R00 R06 H21 H17 H17 H12 R09,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,S2,FORMAL_G1_GLOBAL_FRAME,G1,relational frame / record line,B,B,2,paragraph_start,ARG/FILL FUNC-PARTICLE OPERATOR ARG/FILL ARG/FILL FUNC-PARTICLE OP/HEAD FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE,ARG/FILL / FUNC-PARTICLE / OPERATOR / ARG/FILL / ARG/FILL / FUNC-PARTICLE / OP/HEAD / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE,NO_VERIFIED_EXTERNAL_TRANSLATION
"f77v.24,+P0",f77v,2667,daiin sheekey qokeedy daiin dail qokedy qokedy ol,R10 R00 H01 R10 R06 H12 H12 R06,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G1_GLOBAL_FRAME,G1,relational frame / record line,B,B,2,paragraph_continuation,FUNC-PARTICLE ARG/FILL FUNC-PARTICLE FUNC-PARTICLE ARG/FILL FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE,FUNC-PARTICLE / ARG/FILL / FUNC-PARTICLE / FUNC-PARTICLE / ARG/FILL / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE,NO_VERIFIED_EXTERNAL_TRANSLATION
"f77v.25,+P0",f77v,2668,lchor oiiin shedy qokaiin saiin dal sheedy qokeedy al,R00 R00 R06 H08 R06 R09 R06 H01 R06,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G1_GLOBAL_FRAME,G1,relational frame / record line,B,B,2,paragraph_continuation,ARG/FILL ARG/FILL FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE,ARG/FILL / ARG/FILL / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE,NO_VERIFIED_EXTERNAL_TRANSLATION
"f77v.26,+P0",f77v,2669,dairol shedy rchy sheor qokedy qoky chckhy qokchy ldol,R06 R06 R00 R06 H12 H01 R00 H08 R00,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,S2,FORMAL_G1_GLOBAL_FRAME,G1,relational frame / record line,B,B,2,paragraph_continuation,ARG/FILL FUNC-PARTICLE ARG/FILL ARG/FILL FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE OP/HEAD ARG/FILL,ARG/FILL / FUNC-PARTICLE / ARG/FILL / ARG/FILL / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / OP/HEAD / ARG/FILL,NO_VERIFIED_EXTERNAL_TRANSLATION
"f77v.42,+P0",f77v,2685,tcheey qokeey qokal lchedy cheolkaiin okol,R06 H08 H08 R00 R00 R07,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,S2,FORMAL_G1_GLOBAL_FRAME,G1,relational frame / record line,B,B,2,paragraph_continuation,ARG/FILL FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE ARG/FILL FUNC-PARTICLE,ARG/FILL / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / ARG/FILL / FUNC-PARTICLE,NO_VERIFIED_EXTERNAL_TRANSLATION
"f77v.44,@Lt",f77v,2687,okalo,R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,B,B,2,label_or_marginal,LABEL-FIELD,LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f78r.1,@Lt",f78r,2689,okchdldlo,R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,B,B,2,label_or_marginal,LABEL-FIELD,LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f78r.2,@Lt",f78r,2690,okchdy,R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,B,B,2,label_or_marginal,LABEL-LEX,LABEL-LEX,NO_VERIFIED_EXTERNAL_TRANSLATION
"f78r.5,+P0",f78r,2693,qckhedy cheky dol chedy qokedy qokain olkedy,R00 R06 R06 R02 H12 H08 R00,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,S2,FORMAL_G1_GLOBAL_FRAME,G1,relational frame / record line,B,B,2,paragraph_continuation,ARG/FILL FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE ARG/FILL,ARG/FILL / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / ARG/FILL,NO_VERIFIED_EXTERNAL_TRANSLATION
"f78r.14,+P0",f78r,2702,sor checkhy or chckhdy dol kedy qokededy qokan ol,R06 R00 R06 R00 R06 R06 H12 H08 R06,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G1_GLOBAL_FRAME,G1,relational frame / record line,B,B,2,paragraph_continuation,ARG/FILL ARG/FILL FUNC-PARTICLE ARG-LEX FUNC-PARTICLE ARG/FILL OP/HEAD OP/HEAD FUNC-PARTICLE,ARG/FILL / ARG/FILL / FUNC-PARTICLE / ARG-LEX / FUNC-PARTICLE / ARG/FILL / OP/HEAD / OP/HEAD / FUNC-PARTICLE,NO_VERIFIED_EXTERNAL_TRANSLATION
"f78r.45,@Lt",f78r,2733,dchedaly,R09,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,B,B,2,label_or_marginal,QUAL/TAIL,QUAL/TAIL,NO_VERIFIED_EXTERNAL_TRANSLATION
"f78r.47,@Lt",f78r,2735,okaral,R03,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,B,B,2,label_or_marginal,ARG/FILL,ARG/FILL,NO_VERIFIED_EXTERNAL_TRANSLATION
"f78v.7,+P0",f78v,2742,otor yshedy otedy shedy qokeedy qokedy otar otedy,R00 R00 R01 R06 H01 H12 R01 R01,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,S2,FORMAL_G1_GLOBAL_FRAME,G1,relational frame / record line,B,B,2,paragraph_continuation,ARG/FILL ARG/FILL FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE QUAL/TAIL FUNC-PARTICLE,ARG/FILL / ARG/FILL / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / QUAL/TAIL / FUNC-PARTICLE,NO_VERIFIED_EXTERNAL_TRANSLATION
"f78v.29,+P0",f78v,2764,lchedy otchey qol chedy lr al s aiiin ol shedy ary,R00 R00 R00 R02 R00 R06 R06 R00 R06 R06 R00,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,S2,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,B,B,2,paragraph_continuation,FUNC-PARTICLE LABEL-FIELD FUNC-PARTICLE FUNC-PARTICLE LABEL-FIELD FUNC-PARTICLE FUNC-PARTICLE LABEL-FIELD FUNC-PARTICLE FUNC-PARTICLE LABEL-LEX,FUNC-PARTICLE / LABEL-FIELD / FUNC-PARTICLE / FUNC-PARTICLE / LABEL-FIELD / FUNC-PARTICLE / FUNC-PARTICLE / LABEL-FIELD / FUNC-PARTICLE / FUNC-PARTICLE / LABEL-LEX,NO_VERIFIED_EXTERNAL_TRANSLATION
"f79r.8,+P0",f79r,2775,qokol cheedy qokal shed ykchedy chcthy yoky qokal cholo,H08 R06 H08 R06 R00 R04 R06 H08 R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G1_GLOBAL_FRAME,G1,relational frame / record line,B,B,2,paragraph_continuation,FUNC-PARTICLE ARG/FILL FUNC-PARTICLE ARG/FILL ARG/FILL FUNC-PARTICLE ARG/FILL FUNC-PARTICLE ARG/FILL,FUNC-PARTICLE / ARG/FILL / FUNC-PARTICLE / ARG/FILL / ARG/FILL / FUNC-PARTICLE / ARG/FILL / FUNC-PARTICLE / ARG/FILL,NO_VERIFIED_EXTERNAL_TRANSLATION
"f79r.9,+P0",f79r,2776,saiin shedy psheedy qokar sheol qolchey qoty qokal qokam,R06 R06 R00 R03 R06 H07 H01 H08 H08,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G1_GLOBAL_FRAME,G1,relational frame / record line,B,B,2,paragraph_continuation,FUNC-PARTICLE FUNC-PARTICLE ARG/FILL FUNC-PARTICLE FUNC-PARTICLE OPERATOR FUNC-PARTICLE FUNC-PARTICLE OP/HEAD,FUNC-PARTICLE / FUNC-PARTICLE / ARG/FILL / FUNC-PARTICLE / FUNC-PARTICLE / OPERATOR / FUNC-PARTICLE / FUNC-PARTICLE / OP/HEAD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f79r.10,+P0",f79r,2777,qokshedy qokain cheor okol sheeol qotey choty otechys,H12 H08 R00 R07 R06 H13 R00 R01,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G1_GLOBAL_FRAME,G1,relational frame / record line,B,B,2,paragraph_continuation,OP/HEAD FUNC-PARTICLE ARG/FILL FUNC-PARTICLE ARG/FILL OP/HEAD ARG/FILL QUAL/TAIL,OP/HEAD / FUNC-PARTICLE / ARG/FILL / FUNC-PARTICLE / ARG/FILL / OP/HEAD / ARG/FILL / QUAL/TAIL,NO_VERIFIED_EXTERNAL_TRANSLATION
"f79r.15,+P0",f79r,2782,qokl shey qokal chedy okol dyty r aiin ol sheol lchey,R00 R06 H08 R02 R07 R06 R00 R06 R06 R06 R00,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,S2,FORMAL_G1_GLOBAL_FRAME,G1,relational frame / record line,B,B,2,paragraph_continuation,ARG/FILL FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE ARG/FILL LABEL-LEX FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE ARG/FILL,ARG/FILL / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / ARG/FILL / LABEL-LEX / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / ARG/FILL,NO_VERIFIED_EXTERNAL_TRANSLATION
"f79r.16,+P0",f79r,2783,shain shckhy qoly kshedy otal sheey qokain shey qokam,R06 R06 H07 R06 R01 R06 H08 R06 H08,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,S2,FORMAL_G1_GLOBAL_FRAME,G1,relational frame / record line,B,B,2,paragraph_continuation,ARG/FILL ARG-LEX OP/HEAD ARG/FILL QUAL/TAIL FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE OP/HEAD,ARG/FILL / ARG-LEX / OP/HEAD / ARG/FILL / QUAL/TAIL / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / OP/HEAD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f79r.42,+P0",f79r,2809,sain okio chedy lkchedy aiin okain oly cheedy,R06 R00 R02 R00 R06 R10 R06 R06,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,B,B,2,paragraph_continuation,FUNC-PARTICLE LABEL-FIELD FUNC-PARTICLE LABEL-FIELD FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE LABEL-FIELD,FUNC-PARTICLE / LABEL-FIELD / FUNC-PARTICLE / LABEL-FIELD / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f79v.2,+P0",f79v,2813,qoteedy qokchey qoty lshey qokain shey qorchedy,H01 H08 H01 R00 H08 R06 R00,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,S2,FORMAL_G2_CORE_LOCAL_KERNEL,G2,zone-local kernel / record line,B,B,2,paragraph_continuation,FUNC-PARTICLE OP/HEAD FUNC-PARTICLE ARG-LEX FUNC-PARTICLE FUNC-PARTICLE ARG/FILL,FUNC-PARTICLE / OP/HEAD / FUNC-PARTICLE / ARG-LEX / FUNC-PARTICLE / FUNC-PARTICLE / ARG/FILL,NO_VERIFIED_EXTERNAL_TRANSLATION
"f79v.4,+P0",f79v,2815,qokeedy qokeedy qotain sol chedy rchey qoky lchedy,H01 H01 H13 R06 R02 R00 H01 R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G2_CORE_LOCAL_KERNEL,G2,zone-local kernel / record line,B,B,2,paragraph_continuation,FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE ARG/FILL FUNC-PARTICLE FUNC-PARTICLE,FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / ARG/FILL / FUNC-PARTICLE / FUNC-PARTICLE,NO_VERIFIED_EXTERNAL_TRANSLATION
"f79v.5,+P0",f79v,2816,qolkeedy qokedy qotal saiin ory qokedy oteedy lcheam,H21 H12 H13 R06 R00 H12 R01 R00,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,S2,FORMAL_G2_CORE_LOCAL_KERNEL,G2,zone-local kernel / record line,B,B,2,paragraph_continuation,OP/HEAD FUNC-PARTICLE OP/HEAD FUNC-PARTICLE ARG/FILL FUNC-PARTICLE FUNC-PARTICLE ARG/FILL,OP/HEAD / FUNC-PARTICLE / OP/HEAD / FUNC-PARTICLE / ARG/FILL / FUNC-PARTICLE / FUNC-PARTICLE / ARG/FILL,NO_VERIFIED_EXTERNAL_TRANSLATION
"f79v.8,+P0",f79v,2819,ychedy qotey okedy tedyol sheedy qokeey qoteedy lol,R00 H13 R00 R06 R06 H08 H01 R00,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,S2,FORMAL_G2_CORE_LOCAL_KERNEL,G2,zone-local kernel / record line,B,B,2,paragraph_continuation,ARG/FILL OP/HEAD FUNC-PARTICLE ARG/FILL FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE ARG/FILL,ARG/FILL / OP/HEAD / FUNC-PARTICLE / ARG/FILL / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / ARG/FILL,NO_VERIFIED_EXTERNAL_TRANSLATION
"f79v.9,+P0",f79v,2820,sar ol sheey qokeedy qokechey qol,R06 R06 R06 H01 H08 R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G2_CORE_LOCAL_KERNEL,G2,zone-local kernel / record line,B,B,2,paragraph_continuation,ARG/FILL FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE OP/HEAD FUNC-PARTICLE,ARG/FILL / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / OP/HEAD / FUNC-PARTICLE,NO_VERIFIED_EXTERNAL_TRANSLATION
